"","mun","year","pop_t","nat","nat_name","reg","reg_name","dep","dep_name","mun_name","PDET","mun_name_check","area","area_2","pop_r","pop_r_disc","pop_female_n","pop_female_p"
"1",5361,2018,19717,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","Ituango",1,"Ituango",2375,2850.17100495808,6.91783053216837,"5-24",7054,0.357762337069534
"2",5854,2018,11426,1,"Colombia",2,"Eje cafetero y Antioquia",5,"Antioquia","Valdivia",1,"Valdivia",551,563.167864101991,20.2887997137754,"5-24",4432,0.387887274636793
"3",15204,2018,10589,1,"Colombia",4,"Central",15,"Boyacá","Cómbita",0,"Cómbita",149,140.170015224297,75.5439741021339,"50-99",3575,0.337614505619039
"4",25488,2018,9047,1,"Colombia",4,"Central",25,"Cundinamarca","Nilo",0,"Nilo",220,222.061735261828,40.7409227408445,"25-49",2618,0.289377694263292
"5",25645,2018,30508.5,1,"Colombia",4,"Central",25,"Cundinamarca","San Antonio Del Tequendama",0,"San Antonio del Tequendama",86,88.3762978478865,345.211337688203,"250+",3642,0.119376567186194
"6",68264,2018,18553,1,"Colombia",4,"Central",68,"Santander","Encino",0,"Encino",418,399.954032494651,46.3878308321547,"25-49",837,0.0451139977362152
"7",91460,2018,798.5,1,"Colombia",6,"Amazonía",91,"Amazonas","Mirití - Paraná",0,"Miriti - Paraná (CD)",16564,16895.3737889187,0.0472614580758029,"0-4",289.5,0.362554790231684
"8",91530,2018,422.5,1,"Colombia",6,"Amazonía",91,"Amazonas","Puerto Alegría",0,"Puerto Alegría (CD)",8394,8498.33958575044,0.0497155939388943,"0-4",166,0.392899408284024
"9",95200,2018,4034,1,"Colombia",6,"Amazonía",95,"Guaviare","Miraflores",1,"Miraflores",12914,12856.2035285125,0.31377847986409,"0-4",1368,0.339117501239465
"10",97511,2018,3283,1,"Colombia",6,"Amazonía",97,"Vaupés","Pacoa",0,"Pacoa (CD)",13910,14013.8921080376,0.234267537861023,"0-4",1282,0.390496497106305
"11",97777,2018,287,1,"Colombia",6,"Amazonía",97,"Vaupés","Papunahua",0,"Papunaua (CD)",5435,5587.74026674329,0.0513624446197233,"0-4",110,0.383275261324042
"12",97889,2018,486.5,1,"Colombia",6,"Amazonía",97,"Vaupés","Yavaraté",0,"Yavaraté (CD)",4735,4646.41021313199,0.104704487482621,"0-4",186.5,0.383350462487153
"13",99001,2018,19427,1,"Colombia",5,"Llanos",99,"Vichada","Puerto Carreño",0,"Puerto Carreño",12409,12108.2741900874,1.60444004612187,"0-4",7079,0.364389766819375
"14",99524,2018,11034.5,1,"Colombia",5,"Llanos",99,"Vichada","La Primavera",0,"La Primavera",20141,18541.3244763608,0.595130084372797,"0-4",3324,0.301237029317142
